Nova Scotia,"Kings, Subd. A (SC)","Kings, Subd. A (SC)",Apt & Other / App. & autres,,,575,a,683,a,,,682,a
Nova Scotia,"Kings, Subd. A (SC)","Kings, Subd. A (SC)",Total,,,575,a,683,a,,,682,a
Nova Scotia,"Kings, Subd. A (SC)",Total,Row / En bande,,,,,,,,,,
Nova Scotia,"Kings, Subd. A (SC)",Total,Apt & Other / App. & autres,,,575,a,683,a,,,682,a
Nova Scotia,"Kings, Subd. A (SC)",Total,Total,,,575,a,683,a,,,682,a
Nova Scotia,Lunenburg (MD),Lunenburg (MD),Row / En bande,,,,,,,,,,
Nova Scotia,Lunenburg (MD),Lunenburg (MD),Apt & Other / App. & autres,,,,,,,,,,
Nova Scotia,Lunenburg (MD),Lunenburg (MD),Total,,,,,,,,,,
Nova Scotia,Lunenburg (MD),Total,Row / En bande,,,,,,,,,,
Nova Scotia,Lunenburg (MD),Total,Apt & Other / App. & autres,,,,,,,,,,
Nova Scotia,Lunenburg (MD),Total,Total,,,,,,,,,,
Nova Scotia,Queens (RGM),Queens (RGM),Row / En bande,,,,,,,,,,
Nova Scotia,Queens (RGM),Queens (RGM),Apt & Other / App. & autres,,,534,a,559,a,,,550,a
Nova Scotia,Queens (RGM),Queens (RGM),Total,,,534,a,559,a,,,546,a
Nova Scotia,Queens (RGM),Total,Row / En bande,,,,,,,,,,
Nova Scotia,Queens (RGM),Total,Apt & Other / App. & autres,,,534,a,559,a,,,550,a
Nova Scotia,Queens (RGM),Total,Total,,,534,a,559,a,,,546,a
Nova Scotia,West Hants (MD),West Hants (MD),Row / En bande,,,,,,,,,,
Nova Scotia,West Hants (MD),West Hants (MD),Apt & Other / App. & autres,,,,,,,,,,
Nova Scotia,West Hants (MD),West Hants (MD),Total,,,,,,,,,,
Nova Scotia,West Hants (MD),Total,Row / En bande,,,,,,,,,,
Nova Scotia,West Hants (MD),Total,Apt & Other / App. & autres,,,,,,,,,,
Nova Scotia,West Hants (MD),Total,Total,,,,,,,,,,
Nova Scotia,Yarmouth (MD),Yarmouth (MD),Row / En bande,,,,,,,,,,
Nova Scotia,Yarmouth (MD),Yarmouth (MD),Apt & Other / App. & autres,,,,,,,,,,
Nova Scotia,Yarmouth (MD),Yarmouth (MD),Total,,,,,,,,,,
Nova Scotia,Yarmouth (MD),Total,Row / En bande,,,,,,,,,,
Nova Scotia,Yarmouth (MD),Total,Apt & Other / App. & autres,,,,,,,,,,
Nova Scotia,Yarmouth (MD),Total,Total,,,,,,,,,,
Nova Scotia,Kentville,"Kings, Subd. C (SC)",Row / En bande,,,,,796,a,,,796,a
Nova Scotia,Kentville,"Kings, Subd. C (SC)",Apt & Other / App. & autres,466,a,573,a,626,a,,,607,a
Nova Scotia,Kentville,"Kings, Subd. C (SC)",Total,466,a,573,a,643,a,,,620,a
Nova Scotia,Kentville,Kentville (T),Row / En bande,,,,,,,,,,
Nova Scotia,Kentville,Kentville (T),Apt & Other / App. & autres,481,a,542,a,660,a,710,a,614,a
Nova Scotia,Kentville,Kentville (T),Total,481,a,542,a,660,a,710,a,614,a
Nova Scotia,Kentville,"Kings, Subd. B (SC)",Row / En bande,,,,,,,,,,
Nova Scotia,Kentville,"Kings, Subd. B (SC)",Apt & Other / App. & autres,,,469,b,675,a,724,b,647,a
Nova Scotia,Kentville,"Kings, Subd. B (SC)",Total,,,481,b,677,a,724,b,649,a
Nova Scotia,Kentville,Total,Row / En bande,,,,,803,a,,,794,a
Nova Scotia,Kentville,Total,Apt & Other / App. & autres,477,a,539,a,656,a,710,a,621,a
Nova Scotia,Kentville,Total,Total,477,a,540,a,661,a,710,a,625,a
Nova Scotia,New Glasgow,"Pictou, Subd. B (SC)",Row / En bande,,,,,,,,,,
Nova Scotia,New Glasgow,"Pictou, Subd. B (SC)",Apt & Other / App. & autres,,,563,b,714,a,,,689,a
Nova Scotia,New Glasgow,"Pictou, Subd. B (SC)",Total,,,570,b,705,a,,,681,a
Nova Scotia,New Glasgow,Westville (T),Row / En bande,,,,,,,,,,
Nova Scotia,New Glasgow,Westville (T),Apt & Other / App. & autres,,,,,650,a,,,645,a
Nova Scotia,New Glasgow,Westville (T),Total,,,,,654,a,,,650,a
Nova Scotia,New Glasgow,Stellarton (T),Row / En bande,,,,,,,,,,
Nova Scotia,New Glasgow,Stellarton (T),Apt & Other / App. & autres,,,561,b,640,a,,,616,a
Nova Scotia,New Glasgow,Stellarton (T),Total,,,563,a,639,a,,,616,a
Nova Scotia,New Glasgow,"Pictou, Subd. C (SC)",Row / En bande,,,,,,,,,,
Nova Scotia,New Glasgow,"Pictou, Subd. C (SC)",Apt & Other / App. & autres,,,,,,,,,,
Nova Scotia,New Glasgow,"Pictou, Subd. C (SC)",Total,,,,,,,,,,
Nova Scotia,New Glasgow,New Glasgow (T),Row / En bande,,,,,691,b,,,672,a
Nova Scotia,New Glasgow,New Glasgow (T),Apt & Other / App. & autres,487,b,538,a,631,a,,,583,a
Nova Scotia,New Glasgow,New Glasgow (T),Total,487,b,538,a,637,a,670,a,593,a
Nova Scotia,New Glasgow,Trenton (T),Row / En bande,,,,,,,,,,
Nova Scotia,New Glasgow,Trenton (T),Apt & Other / App. & autres,,,,,615,b,,,583,b
Nova Scotia,New Glasgow,Trenton (T),Total,,,494,b,611,a,,,580,a
Nova Scotia,New Glasgow,Total,Row / En bande,,,528,d,662,b,643,a,640,a
Nova Scotia,New Glasgow,Total,Apt & Other / App. & autres,488,a,540,a,655,a,694,a,610,a
Nova Scotia,New Glasgow,Total,Total,483,a,540,a,655,a,657,a,614,a
Nova Scotia,Truro,"Colchester, Subd. C (SC)",Row / En bande,,,,,,,,,,
Nova Scotia,Truro,"Colchester, Subd. C (SC)",Apt & Other / App. & autres,,,550,a,765,a,705,a,734,a
Nova Scotia,Truro,"Colchester, Subd. C (SC)",Total,,,550,a,772,a,705,b,742,a
Nova Scotia,Truro,Truro (T),Row / En bande,,,,,,,,,,
Nova Scotia,Truro,Truro (T),Apt & Other / App. & autres,502,a,600,a,780,a,822,a,709,a
Nova Scotia,Truro,Truro (T),Total,502,a,600,a,779,a,816,a,709,a
Nova Scotia,Truro,"Colchester, Subd. B (SC)",Row / En bande,,,,,747,b,,,740,a
Nova Scotia,Truro,"Colchester, Subd. B (SC)",Apt & Other / App. & autres,438,a,577,a,757,a,884,a,727,a
Nova Scotia,Truro,"Colchester, Subd. B (SC)",Total,438,a,577,a,757,a,830,a,728,a
Nova Scotia,Truro,Total,Row / En bande,,,,,793,b,714,a,766,a
Nova Scotia,Truro,Total,Apt & Other / App. & autres,489,a,597,a,772,a,812,a,715,a
Nova Scotia,Truro,Total,Total,489,a,597,a,773,a,802,a,716,a
Nova Scotia,Total,Total,Row / En bande,,,694,a,801,a,995,a,866,a
Nova Scotia,Total,Total,Apt & Other / App. & autres,663,a,750,a,909,a,1153,a,859,a
Nova Scotia,Total,Total,Total,663,a,750,a,908,a,1141,a,859,a
New Brunswick,Moncton,Elgin (P),Row / En bande,,,,,,,,,,
New Brunswick,Moncton,Elgin (P),Apt & Other / App. & autres,,,,,,,,,,
New Brunswick,Moncton,Elgin (P),Total,,,,,,,,,,
New Brunswick,Moncton,Hillsborough (P),Row / En bande,,,,,,,,,,
New Brunswick,Moncton,Hillsborough (P),Apt & Other / App. & autres,,,,,,,,,,
New Brunswick,Moncton,Hillsborough (P),Total,,,,,,,,,,
New Brunswick,Moncton,Coverdale (P),Row / En bande,,,,,,,,,,
New Brunswick,Moncton,Coverdale (P),Apt & Other / App. & autres,,,,,,,,,,
New Brunswick,Moncton,Coverdale (P),Total,,,,,,,,,,
New Brunswick,Moncton,Riverview (T),Row / En bande,,,,,,,,,,
New Brunswick,Moncton,Riverview (T),Apt & Other / App. & autres,,,581,a,741,a,814,b,720,a
New Brunswick,Moncton,Riverview (T),Total,,,581,a,740,a,772,b,720,a
New Brunswick,Moncton,Hillsborough (VL),Row / En bande,,,,,,,,,,
New Brunswick,Moncton,Hillsborough (VL),Apt & Other / App. & autres,,,,,408,c,,,441,a
New Brunswick,Moncton,Hillsborough (VL),Total,,,,,408,c,,,441,a
New Brunswick,Moncton,Dorchester (P),Row / En bande,,,,,,,,,,
New Brunswick,Moncton,Dorchester (P),Apt & Other / App. & autres,,,,,,,,,,
New Brunswick,Moncton,Dorchester (P),Total,,,,,,,,,,
New Brunswick,Moncton,Dorchester (VL),Row / En bande,,,,,,,,,,
New Brunswick,Moncton,Dorchester (VL),Apt & Other / App. & autres,,,,,,,,,,
New Brunswick,Moncton,Dorchester (VL),Total,,,,,,,,,,
